No.	Observed Passband	Photometry Measurement	Uncertainty	Units	Frequency	NED Photometry Measurement	NED Uncertainty	NED Units	Refcode	Significance	Published frequency	Frequency Mode	Coordinates Targeted	Spatial Mode	Qualifiers	Comments	log v	log(Jy)
263	^13^CO(2-1) (IRAM)  	60	+/-13   	 Jy km/s            	2.20E+11	4.33E+07	+/-9.39E+06	Jy-Hz	2009ApJ...692.1432G	uncertainty	   220.400 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.34242268	-3.705934784
264	C^18^O(2-1) (SMA)   	31.5	+/-6.3  	Jy km/s             	2.19E+11	2.27E+07	+/-4.53E+06	Jy-Hz	2009ApJ...693...56M	uncertainty	   219.560 GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.19 +23 30 11.3 (J2000)	 Flux integrated from map	                                        	From new raw data	11.34044411	-3.984418258
265	219.000 GHz (SMA)   	255		milliJy             	2.19E+11	2.55E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   219.000 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 7.3"" x 4.8""; PA = +76deg         "	From new raw data	11.34044411	-11.93390393
266	217.016 GHz (SMA)   	178		milliJy             	2.17E+11	1.78E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   217.016 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 8.4"" x 6.1""; PA = +77deg         "	From new raw data	11.33645973	-12.08603973
267	216 GHz (SMA)       	160	+/-32   	milliJy             	2.16E+11	1.60E-01	+/-3.20E-02	Jy	2009ApJ...693...56M	uncertainty	    216.46 GHz       	 Broad-band measurement	15 34 57.19 +23 30 11.3 (J2000)	 Total flux	                                        	From new raw data	11.33445375	-12.13033377
268	215.032 GHz (SMA)   	156		milliJy             	2.15E+11	1.56E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   215.032 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 8.5"" x 7.0""; PA = +77deg         "	From new raw data	11.33243846	-12.13931386
269	213.048 GHz (SMA)   	145		milliJy             	2.13E+11	1.45E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   213.048 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 3.8"" x 2.8""; PA = +82deg         "	From new raw data	11.3283796	-12.1670116
270	210.984 GHz (SMA)   	177		milliJy             	2.11E+11	1.77E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   210.984 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 10.0"" x 6.9; PA = +47deg         "	From new raw data	11.32428246	-12.07630919
271	209.000 GHz (SMA)   	175		milliJy             	2.09E+11	1.75E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   209.000 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 7.6"" x 5.0""; PA = +76deg         "	From new raw data	11.32014629	-12.07710824
272	207.016 GHz (SMA)   	143		milliJy             	2.07E+11	1.43E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   207.016 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 8.8"" x 6.2""; PA = +76deg         "	From new raw data	11.31597035	-12.16063431
273	205.032 GHz (SMA)   	135		milliJy             	2.05E+11	1.35E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   205.032 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 8.8"" x 7.3""; PA = +76deg         "	From new raw data	11.31175386	-12.18142009
274	203.048 GHz (SMA)   	152		milliJy             	2.03E+11	1.52E-01		Jy	2011A&A...527A..36M	no uncertainty reported	   203.048 GHz       	 Broad-band measurement		 Flux integrated from map	"Beam = 3.9"" x 3.0""; PA = +82deg         "	From new raw data	11.30749604	-12.12565245
275	H_2O (3_13-2_20) VLA	170		milliJy             	1.83E+11	1.70E-01		Jy	2006ApJ...649..635R	no uncertainty reported	183.3101   GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	11.26245109	-12.03200217
276	2000 microns (SCUBA)	88.1	+/-8.8  	 milliJy            	1.50E+11	8.81E-02	+/-8.80E-03	Jy	2004MNRAS.352..673A	uncertainty	      2000 microns   	 Broad-band measurement	15 34 57.22 +23 30 11.61 (J2000)	 Flux integrated from map	                                        	From new raw data	11.17609126	-12.23111535
277	HC3N 12-11          	23	+/-2    	Jy km/s             	1.09E+11	8.22E+06	+/-7.15E+05	Jy-Hz	2011A&A...527A.150L	uncertainty	   109.174 GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11.3 (J2000)	 Flux integrated from map	                                        	From new raw data	11.0374265	-4.12255468
278	HC3N 10-9           	45	+/-3    	Jy km/s             	9.10E+10	1.34E+07	+/-8.94E+05	Jy-Hz	2011A&A...527A.150L	uncertainty	    90.979 GHz       	 Line measurement; flux integrated over line; lines measured in emission	15 34 57.1 +23 30 11.3 (J2000)	 Flux integrated from map	                                        	From new raw data	10.95904139	-3.831936594
279	HCO^+^(1-0) (NMA)   	18		 Jy km/s            	8.92E+10	5.26E+06		Jy-Hz	2007AJ....134.2366I	no uncertainty reported	    89.188 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	10.95036485	-4.22937911
280	HCN(1-0) (IRAM)     	59	+/-12   	 Jy km/s            	8.86E+10	1.71E+07	+/-3.48E+06	Jy-Hz	2009ApJ...692.1432G	uncertainty	    88.631 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	10.94743372	-3.714437611
281	HCN(1-0) (NMA)      	34		 Jy km/s            	8.86E+10	9.87E+06		Jy-Hz	2007AJ....134.2366I	no uncertainty reported	    88.632 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 Flux integrated from map	                                        	From new raw data	10.94743372	-3.953116569
282	HCN (J=1-0) (NMA)   	33		Jy km/s             	8.86E+10	9.58E+06		Jy-Hz	2014AJ....148....9I	no uncertainty reported	    88.631 GHz       	 Line measurement; flux integrated over line; lines measured in emission		 From fitting to map	                                        	From new raw data	10.94743372	-3.966068213
283	87.34 GHz (NMA)     	30		 milliJy            	8.73E+10	3.00E-02		Jy	2007AJ....134.2366I	no uncertainty reported	     87.34 GHz       	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	10.94101424	-12.46389299
284	32.5 GHz (EVLA)     	59.5	+/-2.5  	milliJy             	3.25E+10	5.95E-02	+/-2.50E-03	Jy	2011ApJ...739L..25L	statistical error	      32.5 GHz       	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	10.51188336	-11.7373664
285	8085 MHz            	0.17	+/-0.02 	Jy                  	8.08E+09	1.70E-01	+/-1.58E-02	Jy	1983AJ.....88...20C	rms uncertainty	8085       MHz       	 Broad-band measurement	153246.90 +2340 8.2 (B1950)	 Flux integrated from map	                                        	From new raw data	9.907411361	-10.67696244
286	7.0 GHz (ATA)       	0.19	+/-0.02 	Jy                  	7.00E+09	1.90E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       7.0 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.84509804	-10.56634444
287	6.7 GHz (ATA)       	0.23	+/-0.03 	Jy                  	6.70E+09	2.30E-01	+/-3.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       6.7 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.826074803	-10.46434697
288	6.3 GHz (ATA)       	0.2	+/-0.01 	Jy                  	6.30E+09	2.00E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       6.3 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.799340549	-10.49831055
289	6.3 GHz (ATA)       	0.2	+/-0.03 	Jy                  	6.30E+09	2.00E-01	+/-3.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       6.3 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.799340549	-10.49831055
290	6.2 GHz (ATA)       	0.29	+/-0.03 	Jy                  	6.20E+09	2.90E-01	+/-3.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       6.2 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.792391689	-10.32999369
291	6.0 GHz (ATA)       	0.22	+/-0.01 	Jy                  	6.00E+09	2.20E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       6.0 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.77815125	-10.43572857
292	5.95 GHz (EVLA)     	194.5	+/-0.08 	milliJy             	5.95E+09	1.95E-01	+/-8.00E-05	Jy	2011ApJ...739L..25L	statistical error	      5.95 GHz       	 Broad-band measurement		 Flux integrated from map	                                        	From new raw data	9.774516966	-10.48448235
293	5.7 GHz (ATA)       	0.22	+/-0.01 	Jy                  	5.70E+09	2.20E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       5.7 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.755874856	-10.41345217
294	5.7 GHz (ATA)       	0.2	+/-0.02 	Jy                  	5.70E+09	2.00E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       5.7 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.755874856	-10.45484486
295	5.4 GHz (ATA)       	0.24	+/-0.01 	Jy                  	5.40E+09	2.40E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       5.4 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.73239376	-10.35218252
296	CH_2_NH (Arecibo)   	3.5	+/-0.22 	 milliJy            	5.29E+09	3.50E-03	+/-2.20E-04	Jy	2008AJ....136..389S	uncertainty	  5286.813 MHz       	 Line measurement; flux integrated over line; lines measured in emission		 Peak flux	                                        	From new raw data	9.723455672	-12.17938763
297	5.2 GHz (ATA)       	0.23	+/-0.01 	Jy                  	5.20E+09	2.30E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       5.2 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.716003344	-10.35427551
298	5.0 GHz (ATA)       	0.24	+/-0.02 	Jy                  	5.00E+09	2.40E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       5.0 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.698970004	-10.31875876
299	5.0 GHz (ATA)       	0.23	+/-0.01 	Jy                  	5.00E+09	2.30E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       5.0 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.698970004	-10.33724217
300	5000 MHz (NRAO)     	0.192	+/-0.029	Jy                  	5.00E+09	1.92E-01	+/-2.90E-02	Jy	1976ApJS...32..171S	uncertainty	      5000 MHz       	 Broad-band measurement	15 32 44.2 +23 40 10 (B1950)	 Flux integrated from map	                                        	From new raw data	9.698970004	-10.41566878
301	4.85 GHz            	208	+/-15  %	milliJy             	4.85E+09	2.08E-01	+/-3.12E-02	Jy	1991ApJS...75....1B	uncertainty	4.85       GHz       	 Broad-band measurement	153247.1 +233945 (B1950)	 Peak flux	                                        	From new raw data; Corrected for contaminating sources	9.685741739	-10.3676784
302	4.85 GHz            	204	+/-27   	milliJy             	4.85E+09	2.04E-01	+/-2.70E-02	Jy	1991ApJS...75.1011G	rms noise	4.85       GHz       	 Broad-band measurement	153247.1 +233949 (B1950)	 Modelled datum	                                        	From new raw data; Corrected for contaminating sources	9.685741739	-10.37611157
303	4830 MHz (NRAO)     	224		milliJy             	4.83E+09	2.24E-01		Jy	1990ApJS...72..621L	no uncertainty reported	    4830   MHz       	 Broad-band measurement	15 34 58.4 +23 30 42 (J2000)	 Flux integrated from map	S/N = 32                                	From new raw data	9.683947131	-10.33369911
304	4.8 GHz (VLA)       	183.13		milliJy             	4.80E+09	1.83E-01		Jy	2010ApJ...720..555P	no uncertainty reported	       4.8 GHz       	 Broad-band measurement	15 34 57.25 +23 30 11.41 (J2000)	 Flux integrated from map	                                        	From new raw data	9.681241237	-10.41879015
305	4.7 GHz (ATA)       	0.26	+/-0.02 	Jy                  	4.70E+09	2.60E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       4.7 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.672097858	-10.25712451
306	4.6 GHz (ATA)       	0.24	+/-0.02 	Jy                  	4.60E+09	2.40E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       4.6 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.662757832	-10.28254659
307	4.5 GHz (ATA)       	0.24	+/-0.02 	Jy                  	4.50E+09	2.40E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       4.5 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.653212514	-10.27300127
308	4.4 GHz (ATA)       	0.23	+/-0.02 	Jy                  	4.40E+09	2.30E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       4.4 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.643452676	-10.28172484
309	4.3 GHz (ATA)       	0.25	+/-0.02 	Jy                  	4.30E+09	2.50E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       4.3 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.633468456	-10.23552845
310	3.6 GHz (ATA)       	0.24	+/-0.01 	Jy                  	3.60E+09	2.40E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       3.6 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.556302501	-10.17609126
311	3.5 GHz (ATA)       	0.27	+/-0.01 	Jy                  	3.50E+09	2.70E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       3.5 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.544068044	-10.11270428
312	3.4 GHz (ATA)       	0.28	+/-0.01 	Jy                  	3.40E+09	2.80E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       3.4 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.531478917	-10.08432089
313	3.3 GHz (ATA)       	0.27	+/-0.01 	Jy                  	3.30E+09	2.70E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       3.3 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.51851394	-10.08715018
314	3.2 GHz (ATA)       	0.27	+/-0.01 	Jy                  	3.20E+09	2.70E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       3.2 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.505149978	-10.07378621
315	2.9 GHz (ATA)       	0.27	+/-0.01 	Jy                  	2.90E+09	2.70E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       2.9 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.462397998	-10.03103423
316	2695 MHz (NRAO)     	0.279	+/-0.022	Jy                  	2.70E+09	2.79E-01	+/-2.20E-02	Jy	1976ApJS...32..171S	uncertainty	      2695 MHz       	 Broad-band measurement	15 32 44.2 +23 40 10 (B1950)	 Flux integrated from map	                                        	From new raw data	9.431363764	-9.985759561
317	2695 MHz            	0.26	+/-0.01 	Jy                  	2.70E+09	2.60E-01	+/-1.31E-02	Jy	1983AJ.....88...20C	rms uncertainty	2695       MHz       	 Broad-band measurement	153246.90 +2340 8.2 (B1950)	 Flux integrated from map	                                        	From new raw data	9.431363764	-10.01639042
318	2.6 GHz (ATA)       	0.28	+/-0.01 	Jy                  	2.60E+09	2.80E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       2.6 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.414973348	-9.967815317
319	2.6 GHz (ATA)       	0.28	+/-0.02 	Jy                  	2.60E+09	2.80E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       2.6 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.414973348	-9.967815317
320	2.5 GHz (ATA)       	0.27	+/-0.02 	Jy                  	2.50E+09	2.70E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       2.5 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.397940009	-9.966576245
321	2.5 GHz (ATA)       	0.29	+/-0.01 	Jy                  	2.50E+09	2.90E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       2.5 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.397940009	-9.935542011
322	2380 MHz            	312	+/-16.  	milliJy             	2.38E+09	3.12E-01	+/-1.60E-02	Jy	1978ApJS...36...53D	rms uncertainty	2380       MHz       	 Broad-band measurement; peak value reported		 Peak flux	                                        	From new raw data	9.376576957	-9.882422363
323	2.0 GHz (ATA)       	0.3	+/-0.01 	Jy                  	2.00E+09	3.00E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       2.0 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.301029996	-9.823908741
324	1.9 GHz (ATA)       	0.3	+/-0.01 	Jy                  	1.90E+09	3.00E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.9 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.278753601	-9.801632346
325	1.8 GHz (ATA)       	0.31	+/-0.01 	Jy                  	1.80E+09	3.10E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.8 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.255272505	-9.763910811
326	1.7 GHz (ATA)       	0.3	+/-0.01 	Jy                  	1.70E+09	3.00E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.7 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.230448921	-9.753327667
327	1.6 GHz (ATA)       	0.31	+/-0.03 	Jy                  	1.60E+09	3.10E-01	+/-3.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.6 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.204119983	-9.712758289
328	1.5 GHz (ATA)       	0.26	+/-0.02 	Jy                  	1.50E+09	2.60E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.5 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.176091259	-9.761117911
329	HI (21 cm line)     	13.96	+/-0.30 	m_21 mag            	1.42E+09	1.14E+05	+/-3.62E+04	Jy-Hz	1991RC3.9.C...0000d	rms uncertainty	21         cm        	 Line measurement; flux integrated over line; lines measured in emission	153247.3 +234006 (B1950)	 Multiple methods	m_21 equiv. to S(HI) = 1.138E-21 W m^-2 	Homogenized from new and previously published data	9.152288344	-4.095383493
330	1.4 GHz (VLA)       	299		milliJy             	1.42E+09	2.99E-01		Jy	2006A&A...449..559B	no uncertainty reported	    1.42   GHz       	 Broad-band measurement	15 32 46.92 +23 40 07.8 (J2000)	 Total flux	                                        	From new raw data	9.152288344	-9.676617156
331	HI (21 cm line)     	21.11		Jy km s^-1^         	1.42E+09	9.79E+04		Jy-Hz	1989H&RHI.C...0000H	no uncertainty reported	21         cm        	 Line measurement; flux integrated over line; lines measured in emission	153247.1 +234007. (B1950)	 Not reported in paper	                                        	Transformed from previously published data	9.152288344	-4.161505653
332	1.40 GHz            	302		milliJy             	1.40E+09	3.02E-01		Jy	1992ApJS...79..331W	no uncertainty reported	1.4        GHz       	 Broad-band measurement	153247.1 +233945 (B1950)	 Peak flux	                                        	From new raw data	9.146128036	-9.666121093
333	1.4GHz              	326.8	+/-9.8  	milliJy             	1.40E+09	3.27E-01	+/-9.80E-03	Jy	1998AJ....115.1693C	uncertainty	    1.40   GHz       	 Broad-band measurement	15 34 57.26 +23 30 11.1 (J2000)	 Flux integrated from map	                                        	From new raw data	9.146128036	-9.631580283
334	1400 MHz            	0.3	+/-0.04 	Jy                  	1.40E+09	3.00E-01	+/-3.55E-02	Jy	1983AJ.....88...20C	rms uncertainty	1400       MHz       	 Broad-band measurement	153246.90 +2340 8.2 (B1950)	 Flux integrated from map	                                        	From reprocessed raw data	9.146128036	-9.669006781
335	1.4 GHz (ATA)       	0.32	+/-0.01 	Jy                  	1.40E+09	3.20E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.4 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.146128036	-9.640978057
336	1.4 GHz (VLA)       	326		milliJy             	1.40E+09	3.26E-01		Jy	2002AJ....124..675C	no uncertainty reported	     1.4   GHz       	 Broad-band measurement		 Flux integrated from map	                                        	Averaged from previously published data	9.146128036	-9.632910436
337	1.2 GHz (ATA)       	0.37	+/-0.02 	Jy                  	1.20E+09	3.70E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.2 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.079181246	-9.510979522
338	1.2 GHz (ATA)       	0.33	+/-0.01 	Jy                  	1.20E+09	3.30E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.2 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.079181246	-9.560667306
339	1.1 GHz (ATA)       	0.36	+/-0.02 	Jy                  	1.10E+09	3.60E-01	+/-2.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.1 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 48                     	From new raw data	9.041392685	-9.485090184
340	1.1 GHz (ATA)       	0.34	+/-0.01 	Jy                  	1.10E+09	3.40E-01	+/-1.00E-02	Jy	2010ApJ...710.1462W	uncertainty	       1.1 GHz       	 Broad-band measurement		 Flux integrated from map	Calibrator is 3C 286                    	From new raw data	9.041392685	-9.509913768
341	365 MHz (Texas)     	0.435	+/-0.026	Jy                  	3.65E+08	4.35E-01	+/-2.60E-02	Jy	1996AJ....111.1945D	internal error	365        MHz       	 Broad-band measurement; obtained by interpolation over frequency	153246.819 234008.06 (B1950)	 Integrated from scans	Model:P;MFlag:+;EFlag:+;LFlag:+.        	From new raw data	8.562292864	-8.923803608
342	151 MHz             	0.45	+/-18.1%	Jy                  	1.51E+08	4.50E-01	+/-8.13E-02	Jy	1996MNRAS.282..779W	estimated error	151        MHz       	 Broad-band measurement	153246.9 +233952 (B1950)	 Flux integrated from map; Beam filling or dilution corrected	                                        	From new raw data; Corrected for contaminating sources	8.178976947	-8.525764434
