No.	Observed Passband	Photometry Measurement	Uncertainty	Units	Frequency	NED Photometry Measurement	NED Uncertainty	NED Units	Refcode	Significance	Published frequency	Frequency Mode	Coordinates Targeted	Spatial Mode	Qualifiers	Comments	log v	log(Jy)
68	H (UH)              	11.6	+/-0.1  	 mag                	1.82E+14	2.38E-02	+/-2.19E-03	Jy	2000ApJ...529..170S	uncertainty	    1.65   microns   	 Broad-band measurement	15 34 57.3 +23 30 11.9 (J2000)	 Flux in fixed aperture	Nuclear mag                             	From new raw data	14.26007139	-15.88349443
69	H_tot (2MASS LGA)   	10.306	+/-0.028	mag                 	1.82E+14	7.72E-02	+/-2.02E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 1.65      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Total flux	                                        	From new raw data	14.26007139	-15.37245409
70	H_14arcsec (2MASS)  	11.107	+/-0.017	mag                 	1.82E+14	3.69E-02	+/-5.83E-04	Jy	20032MASX.C.......:	1 sigma uncert.	 1.65      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux in fixed aperture	14.0 x 14.0 arcsec aperture             	From new raw data	14.26007139	-15.69304502
71	H (2MASS) AB        	11.73	+/-0.06 	mag                 	1.82E+14	7.37E-02	+/-4.09E-03	Jy	2014ApJS..212...18B	uncertainty	   16440   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	14.26007139	-15.3926039
72	H (2MASS) AB        	11.76	+/-0.06 	mag                 	1.82E+14	7.20E-02	+/-4.00E-03	Jy	2014ApJS..212...18B	uncertainty	   16440   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	14.26007139	-15.40273889
73	K' (UH)             	10.9	+/-0.1  	 mag                	1.41E+14	3.10E-02	+/-2.85E-03	Jy	2000ApJ...529..170S	uncertainty	    2.12   microns   	 Broad-band measurement	15 34 57.3 +23 30 11.9 (J2000)	 Flux in fixed aperture	Nuclear mag                             	From new raw data	14.14921911	-15.65785742
74	K' (UH)             	10.62	+/-0.07 	 mag                	1.41E+14	4.01E-02	+/-2.59E-03	Jy	2000ApJ...529..170S	uncertainty	    2.12   microns   	 Broad-band measurement	15 34 57.3 +23 30 11.9 (J2000)	 Flux in fixed aperture	                                        	From new raw data	14.14921911	-15.54607474
75	Ks (2MASS) AB       	11.64	+/-0.05 	mag                 	1.39E+14	8.00E-02	+/-3.68E-03	Jy	2014ApJS..212...18B	uncertainty	   21590   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data; Extinction-corrected for Milky Way	14.1430148	-15.23992481
76	Ks (2MASS) AB       	11.66	+/-0.05 	mag                 	1.39E+14	7.87E-02	+/-3.63E-03	Jy	2014ApJS..212...18B	uncertainty	   21590   A         	 Broad-band measurement	233.73850000 23.50317000 (J2000)	 Flux in fixed aperture	"80""x36"" aperture                        "	From new raw data	14.1430148	-15.24704007
77	K_tot (2MASS LGA)   	9.852	+/-0.036	mag                 	1.38E+14	7.64E-02	+/-2.58E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 2.17      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Total flux	                                        	From new raw data	14.13987909	-15.25678573
78	K_Kron (2MASS LGA)  	9.957	+/-0.023	mag                 	1.38E+14	6.94E-02	+/-1.49E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 2.17      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux integrated from map	  45.0 x   45.0 arcsec integration area.	From new raw data	14.13987909	-15.29851962
79	K_s_14arcsec (2MASS)	10.548	+/-0.018	mag                 	1.38E+14	4.03E-02	+/-6.73E-04	Jy	20032MASX.C.......:	1 sigma uncert.	 2.17      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux in fixed aperture	14.0 x 14.0 arcsec aperture             	From new raw data	14.13987909	-15.53457404
80	K_20 (2MASS LGA)    	9.957	+/-0.023	mag                 	1.38E+14	6.94E-02	+/-1.49E-03	Jy	2003AJ....125..525J	1 sigma uncert.	 2.17      microns   	 Broad-band measurement	153457.27 +233010.5 (J2000)	 Flux integrated from map	  45.0 x   45.0 arcsec integration area.	From new raw data	14.13987909	-15.29851962
81	F_K (total)         	2.09	+/-1.50 	log milliJy         	1.37E+14	1.23E-01	+/-3.19E-02	Jy	1995ApJ...453..616S	1 sigma	2.194      microns   	 Broad-band measurement		 Corrected to total flux from single aperture measurement	                                        	Homogenized from new and previously published data	14.13672057	-15.04681546
